simple; Simple Heraldry; An excellent heraldic primer characterized by its cheerful illustrations.; http://uhuhhhhh.blogspot.com/2012/10/simple-heraldy-cheerfully-illustrated.html; 0
stroehl; Ströhl's Heraldischer Atlas; The German counterpart to Fox-Davies' work, beautifully illustrated by its author.; https://upload.wikimedia.org/wikipedia/commons/2/2e/Hugo_Gerhard_Stroehl_Heraldischer_Atlas.pdf; 0
rietstap; Rietstap's Armorial General; A monumental work containing the arms of thousands of European families.; http://coats-of-arms-heraldry.com/armoriaux/rietstap.html; 0
burke; Burke's General Armory; An equivalent focused entirely on Great Britain and Ireland.; https://archive.org/stream/generalarmoryofe00burk#page/n143/mode/2up; 0
garcia; Garcia's Enciclopedia Heráldica y Genealógica Hispano-Americana; A heraldic and genealogical encyclopedia for Spain and Latin America.; https://archive.org/details/enciclopediaher01garc/page/n7; 0
costa; Costa's Tratado Completo de la Ciencia del Blason; A Spanish glossary.; https://archive.org/details/enciclopediaher01garc/page/n7; 0
owlturd; Owlturd Comic; A comic for people who want to make art but don't know how to get started.; https://cdn.discordapp.com/attachments/370401273255559169/510906019581394944/86d.jpg; 1
example; CHA Example Chart; Example arms with their elements labelled.; https://www.gg.ca/sites/default/files/media/Heraldry/images/parts_en.jpg; 1
